"particle_count", "avg_percent_of_real_optimal"
"2", "980.405446445237"
"3", "961.620521776807"
"4", "943.990900292002"
"5", "919.2388428557"
"6", "916.466770280635"
"7", "906.200332702008"
"8", "910.947023327013"
"9", "893.010251763966"
"10", "890.66532095094"
"20", "861.460458265089"
"30", "823.316998205612"
"40", "818.687104307868"
"50", "796.688857215486"
"60", "793.095952001951"
"70", "777.712784425833"
"80", "781.051232567524"
"90", "763.067280758741"
"100", "746.324407762715"
"200", "690.330318165764"
"300", "634.977397736879"
"400", "615.802665014514"
